contact_id,student_id,student_name,school_id,class_id,guardian_name,relationship,phone_number_raw,phone_number_e164,primary_contact
GC#SCH01-S001#0721 384 842,SCH01-S001,Hillary Wanjiru,SCH01,SCH01-FORM2NORTH,Violet Wanjiru,Guardian,0721 384 842,+254721384842,Yes
GC#SCH01-S002#0722 308 330,SCH01-S002,Ruth Chebet,SCH01,SCH01-FORM2NORTH,Millicent Chebet,Grandmother,0722 308 330,+254722308330,Yes
GC#SCH01-S003#0710 208 267,SCH01-S003,Oscar Wafula,SCH01,SCH01-FORM2NORTH,Ursula Wafula,Guardian,0710 208 267,+254710208267,Yes
GC#SCH01-S004#0740 401 938,SCH01-S004,Grace Mbugua,SCH01,SCH01-FORM2NORTH,Harrison Mbugua,Father,0740 401 938,+254740401938,Yes
GC#SCH01-S005#0720 620 672,SCH01-S005,Felix Mumbi,SCH01,SCH01-FORM2NORTH,Emmanuel Mumbi,Grandfather,0720 620 672,+254720620672,Yes
GC#SCH01-S006#0701 049 915,SCH01-S006,Eunice Kamau,SCH01,SCH01-FORM2NORTH,Isaac Kamau,Grandfather,0701 049 915,+254701049915,Yes
GC#SCH01-S006#0113 887 287,SCH01-S006,Eunice Kamau,SCH01,SCH01-FORM2NORTH,Sharon Kamau,Guardian,0113 887 287,+254113887287,No
GC#SCH01-S007#0740 274 205,SCH01-S007,Kevin Njoroge,SCH01,SCH01-FORM2NORTH,Oscar Njoroge,Grandfather,0740 274 205,+254740274205,Yes
GC#SCH01-S008#0720 966 851,SCH01-S008,Naomi Omondi,SCH01,SCH01-FORM2NORTH,Erick Omondi,Uncle,0720 966 851,+254720966851,Yes
GC#SCH01-S009#0711 753 046,SCH01-S009,Duncan Cheruiyot,SCH01,SCH01-FORM2NORTH,Daniel Cheruiyot,Mother,0711 753 046,+254711753046,Yes
GC#SCH01-S010#0740 499 045,SCH01-S010,Brenda Atieno,SCH01,SCH01-FORM2NORTH,Francis Atieno,Grandfather,0740 499 045,+254740499045,Yes
GC#SCH01-S011#0768 426 841,SCH01-S011,Michael Mbugua,SCH01,SCH01-FORM2NORTH,Peter Mbugua,Mother,0768 426 841,+254768426841,Yes
GC#SCH01-S012#0112 332 727,SCH01-S012,Doreen Omondi,SCH01,SCH01-FORM2NORTH,Hellen Omondi,Guardian,0112 332 727,+254112332727,Yes
GC#SCH01-S013#0757 878 339,SCH01-S013,Dickson Mumbi,SCH01,SCH01-FORM2NORTH,Hellen Mumbi,Uncle,0757 878 339,+254757878339,Yes
GC#SCH01-S014#0768 851 910,SCH01-S014,Ruth Otieno,SCH01,SCH01-FORM2NORTH,Eunice Otieno,Mother,0768 851 910,+254768851910,Yes
GC#SCH01-S014#0791 398 225,SCH01-S014,Ruth Otieno,SCH01,SCH01-FORM2NORTH,Halima Otieno,Grandfather,0791 398 225,+254791398225,No
GC#SCH01-S015#0721 971 870,SCH01-S015,Kelvin Odhiambo,SCH01,SCH01-FORM2NORTH,Oscar Odhiambo,Aunt,0721 971 870,+254721971870,Yes
GC#SCH01-S015#0791 679 087,SCH01-S015,Kelvin Odhiambo,SCH01,SCH01-FORM2NORTH,Robert Odhiambo,Aunt,0791 679 087,+254791679087,No
GC#SCH01-S016#0750 403 910,SCH01-S016,Violet Auma,SCH01,SCH01-FORM2NORTH,Collins Auma,Guardian,0750 403 910,+254750403910,Yes
GC#SCH01-S017#0110 017 046,SCH01-S017,John Wambui,SCH01,SCH01-FORM2NORTH,Ian Wambui,Grandmother,0110 017 046,+254110017046,Yes
GC#SCH01-S018#0741 676 618,SCH01-S018,Violet Kiptoo,SCH01,SCH01-FORM2NORTH,Naomi Kiptoo,Father,0741 676 618,+254741676618,Yes
GC#SCH01-S019#0710 286 823,SCH01-S019,Felix Kosgei,SCH01,SCH01-FORM2NORTH,Esther Kosgei,Grandfather,0710 286 823,+254710286823,Yes
GC#SCH01-S020#0733 786 863,SCH01-S020,Grace Maina,SCH01,SCH01-FORM2NORTH,Collins Maina,Grandfather,0733 786 863,+254733786863,Yes
GC#SCH01-S021#0723 310 690,SCH01-S021,Charles Cheruiyot,SCH01,SCH01-FORM2NORTH,Victor Cheruiyot,Guardian,0723 310 690,+254723310690,Yes
GC#SCH01-S022#0112 079 030,SCH01-S022,Quinter Kamau,SCH01,SCH01-FORM2NORTH,Michael Kamau,Mother,0112 079 030,+254112079030,Yes
GC#SCH01-S023#0721 028 439,SCH01-S023,Elvis Mbugua,SCH01,SCH01-FORM2NORTH,Gladys Mbugua,Father,0721 028 439,+254721028439,Yes
GC#SCH01-S024#0722 428 364,SCH01-S024,Hellen Kosgei,SCH01,SCH01-FORM2NORTH,Brenda Kosgei,Uncle,0722 428 364,+254722428364,Yes
GC#SCH01-S025#0720 687 056,SCH01-S025,Felix Atieno,SCH01,SCH01-FORM2NORTH,Millicent Atieno,Uncle,0720 687 056,+254720687056,Yes
GC#SCH01-S026#0757 246 287,SCH01-S026,Sharon Kavata,SCH01,SCH01-FORM2NORTH,Naomi Kavata,Guardian,0757 246 287,+254757246287,Yes
GC#SCH01-S027#0711 708 668,SCH01-S027,Daniel Kilonzo,SCH01,SCH01-FORM2NORTH,Joseph Kilonzo,Father,0711 708 668,+254711708668,Yes
GC#SCH01-S028#0723 351 751,SCH01-S028,Mercy Mutua,SCH01,SCH01-FORM2NORTH,Alex Mutua,Aunt,0723 351 751,+254723351751,Yes
GC#SCH01-S029#0701 469 901,SCH01-S029,Collins Omondi,SCH01,SCH01-FORM2NORTH,Erick Omondi,Grandfather,0701 469 901,+254701469901,Yes
GC#SCH01-S030#0110 373 540,SCH01-S030,Sharon Njoroge,SCH01,SCH01-FORM2NORTH,Millicent Njoroge,Grandfather,0110 373 540,+254110373540,Yes
GC#SCH01-S031#0790 393 638,SCH01-S031,Oscar Kiptoo,SCH01,SCH01-FORM2NORTH,Peter Kiptoo,Father,0790 393 638,+254790393638,Yes
GC#SCH01-S032#0768 854 458,SCH01-S032,Beatrice Auma,SCH01,SCH01-FORM2NORTH,Irene Auma,Guardian,0768 854 458,+254768854458,Yes
GC#SCH01-S033#0790 535 560,SCH01-S033,Elvis Akinyi,SCH01,SCH01-FORM2NORTH,Michael Akinyi,Aunt,0790 535 560,+254790535560,Yes
GC#SCH01-S033#0711 048 996,SCH01-S033,Elvis Akinyi,SCH01,SCH01-FORM2NORTH,Dickson Akinyi,Uncle,0711 048 996,+254711048996,No
GC#SCH01-S034#0722 693 785,SCH01-S034,Kendi Akinyi,SCH01,SCH01-FORM2NORTH,Catherine Akinyi,Father,0722 693 785,+254722693785,Yes
