alert_id,school_id,school_name,student_id,student_name,guardian_name,relationship,phone_number_e164,alert_trigger_type,trigger_reason,sms_body,gateway_status,created_at
SMS#SCH01-S011#+254768426841,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-S011,Michael Mbugua,Peter Mbugua,Mother,+254768426841,CHRONIC_ABSENCE,Chronic Absenteeism (52.1%),"CSG ATTENDANCE NOTICE: Dear Peter Mbugua, student Michael Mbugua (SCH01-S011) at Baraka Mixed Secondary School (SCH01, Mixed) has registered Chronic Absenteeism (52.1%). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH01-S016#+254750403910,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-S016,Violet Auma,Collins Auma,Guardian,+254750403910,CHRONIC_ABSENCE,Chronic Absenteeism (60.4%),"CSG ATTENDANCE NOTICE: Dear Collins Auma, student Violet Auma (SCH01-S016) at Baraka Mixed Secondary School (SCH01, Mixed) has registered Chronic Absenteeism (60.4%). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH01-S030#+254110373540,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-S030,Sharon Njoroge,Millicent Njoroge,Grandfather,+254110373540,CHRONIC_ABSENCE,Chronic Absenteeism (58.3%),"CSG ATTENDANCE NOTICE: Dear Millicent Njoroge, student Sharon Njoroge (SCH01-S030) at Baraka Mixed Secondary School (SCH01, Mixed) has registered Chronic Absenteeism (58.3%). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH01-S035#+254113772522,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-S035,Charles Wambui,Winnie Wambui,Grandfather,+254113772522,CHRONIC_ABSENCE,Chronic Absenteeism (64.6%),"CSG ATTENDANCE NOTICE: Dear Winnie Wambui, student Charles Wambui (SCH01-S035) at Baraka Mixed Secondary School (SCH01, Mixed) has registered Chronic Absenteeism (64.6%). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH02-S014#+254750646857,SCH02,"Girls Secondary School (SCH02, Girls)",SCH02-S014,Nancy Kariuki,Erick Kariuki,Father,+254750646857,CHRONIC_ABSENCE,Chronic Absenteeism (58.3%),"CSG ATTENDANCE NOTICE: Dear Erick Kariuki, student Nancy Kariuki (SCH02-S014) at Girls Secondary School (SCH02, Girls) has registered Chronic Absenteeism (58.3%). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH02-S016#+254722548954,SCH02,"Girls Secondary School (SCH02, Girls)",SCH02-S016,Khadija Nafula,Brian Nafula,Guardian,+254722548954,CHRONIC_ABSENCE,Chronic Absenteeism (62.5%),"CSG ATTENDANCE NOTICE: Dear Brian Nafula, student Khadija Nafula (SCH02-S016) at Girls Secondary School (SCH02, Girls) has registered Chronic Absenteeism (62.5%). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH02-S026#+254701271347,SCH02,"Girls Secondary School (SCH02, Girls)",SCH02-S026,Kendi Akinyi,Dennis Akinyi,Father,+254701271347,CONSECUTIVE_ABSENCE_STREAK,Consecutive Absences (4 days),"CSG ATTENDANCE NOTICE: Dear Dennis Akinyi, student Kendi Akinyi (SCH02-S026) at Girls Secondary School (SCH02, Girls) has registered Consecutive Absences (4 days). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH02-S027#+254791942179,SCH02,"Girls Secondary School (SCH02, Girls)",SCH02-S027,Naomi Mutua,Olive Mutua,Grandmother,+254791942179,CONSECUTIVE_ABSENCE_STREAK,Consecutive Absences (4 days),"CSG ATTENDANCE NOTICE: Dear Olive Mutua, student Naomi Mutua (SCH02-S027) at Girls Secondary School (SCH02, Girls) has registered Consecutive Absences (4 days). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH03-S003#+254741782680,SCH03,"Girls Secondary School (SCH03, Girls)",SCH03-S003,Naomi Wanjiru,Purity Wanjiru,Guardian,+254741782680,CHRONIC_ABSENCE,Chronic Absenteeism (60.4%),"CSG ATTENDANCE NOTICE: Dear Purity Wanjiru, student Naomi Wanjiru (SCH03-S003) at Girls Secondary School (SCH03, Girls) has registered Chronic Absenteeism (60.4%). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
SMS#SCH03-S004#+254721219046,SCH03,"Girls Secondary School (SCH03, Girls)",SCH03-S004,Peris Kimani,Francis Kimani,Father,+254721219046,CHRONIC_ABSENCE,Chronic Absenteeism (64.6%),"CSG ATTENDANCE NOTICE: Dear Francis Kimani, student Peris Kimani (SCH03-S004) at Girls Secondary School (SCH03, Girls) has registered Chronic Absenteeism (64.6%). Please contact the school principal.",QUEUED_FOR_DELIVERY,2026-09-15T12:00:00Z
