student_id,admission_no,student_name,gender,school_id,school_name,class_id,class_name
SCH01-S001,SCH01-ADM-2024001,Hillary Wanjiru,M,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-FORM2NORTH,Form 2 North
SCH01-S002,SCH01-ADM-2024002,Ruth Chebet,F,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-FORM2NORTH,Form 2 North
SCH01-S003,SCH01-ADM-2024003,Oscar Wafula,M,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-FORM2NORTH,Form 2 North
SCH01-S004,SCH01-ADM-2024004,Grace Mbugua,F,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-FORM2NORTH,Form 2 North
SCH01-S005,SCH01-ADM-2024005,Felix Mumbi,M,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-FORM2NORTH,Form 2 North
SCH01-S006,SCH01-ADM-2024006,Eunice Kamau,F,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-FORM2NORTH,Form 2 North
SCH01-S007,SCH01-ADM-2024007,Kevin Njoroge,M,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-FORM2NORTH,Form 2 North
SCH01-S008,SCH01-ADM-2024008,Naomi Omondi,F,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-FORM2NORTH,Form 2 North
SCH01-S009,SCH01-ADM-2024009,Duncan Cheruiyot,M,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-FORM2NORTH,Form 2 North
SCH01-S010,SCH01-ADM-2024010,Brenda Atieno,F,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-FORM2NORTH,Form 2 North
SCH01-S011,SCH01-ADM-2024011,Michael Mbugua,M,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-FORM2NORTH,Form 2 North
SCH01-S012,SCH01-ADM-2024012,Doreen Omondi,F,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-FORM2NORTH,Form 2 North
SCH01-S013,SCH01-ADM-2024013,Dickson Mumbi,M,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-FORM2NORTH,Form 2 North
SCH01-S014,SCH01-ADM-2024014,Ruth Otieno,F,SCH01,"Baraka Mixed Secondary School (SCH01, Mixed)",SCH01-FORM2NORTH,Form 2 North
